nic_classification,year,state,sector,indicator,nic_code,nic_description,nic_type,value,unit
2008,2023-24,All India,Combined,Gross Value Added,3030,Manufacture of Air and Spacecraft and Related Machinery,4-digit,412580,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,30,Manufacture of Other Transport Equipment,2-digit,7331821,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,27,Manufacture of Electrical Equipment,2-digit,11682552,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,24,Manufacture of Basic Metals,2-digit,28423673,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,243,Casting of Metals,3-digit,3654635,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,2511,Manufacture of Structural Metal Products,4-digit,1391572,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,2432,Casting of Non-ferrous Metals,4-digit,371887,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,2420,Manufacture of Basic Precious and Other Non-ferrous Metals,4-digit,4980092,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,303,Manufacture of Air and Spacecraft and Related Machinery,3-digit,412580,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,4980092,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,273,Manufacture of Wiring and Wiring Devices,3-digit,2391660,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,271,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",3-digit,5145445,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,259,Manufacture of Other Fabricated Metal Products; Metalworking Service Activities,3-digit,4665304,₹ lakhs
2008,2023-24,All India,Combined,Gross Value Added,25,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",2-digit,7032032,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,243,Casting of Metals,3-digit,3200677,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,273,Manufacture of Wiring and Wiring Devices,3-digit,2193172,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,271,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",3-digit,4858668,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,259,Manufacture of Other Fabricated Metal Products; Metalworking Service Activities,3-digit,4100461,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,251,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators",3-digit,1945059,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,4191827,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,303,Manufacture of Air and Spacecraft and Related Machinery,3-digit,348496,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,2710,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",4-digit,4858668,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,2732,Manufacture of Other Electronic and Electric Wires and Cables,4-digit,1396047,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,2733,Manufacture of Wiring Devices,4-digit,527511,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,3030,Manufacture of Air and Spacecraft and Related Machinery,4-digit,348496,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,2511,Manufacture of Structural Metal Products,4-digit,1247053,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,2432,Casting of Non-ferrous Metals,4-digit,310406,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,2420,Manufacture of Basic Precious and Other Non-ferrous Metals,4-digit,4191827,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,24,Manufacture of Basic Metals,2-digit,23415506,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,25,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",2-digit,6235142,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,27,Manufacture of Electrical Equipment,2-digit,10576093,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,30,Manufacture of Other Transport Equipment,2-digit,6670126,₹ lakhs
2008,2023-24,All India,Combined,Net Value Added,2599,Manufacture of Other Fabricated Metal Products N.e.c.,4-digit,2559640,₹ lakhs
2008,2023-24,All India,Combined,Net Income,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,3316870,₹ lakhs
2008,2023-24,All India,Combined,Net Income,243,Casting of Metals,3-digit,2865682,₹ lakhs
2008,2023-24,All India,Combined,Net Income,251,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators",3-digit,1704005,₹ lakhs
2008,2023-24,All India,Combined,Net Income,259,Manufacture of Other Fabricated Metal Products; Metalworking Service Activities,3-digit,3709405,₹ lakhs
2008,2023-24,All India,Combined,Net Income,271,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",3-digit,4619316,₹ lakhs
2008,2023-24,All India,Combined,Net Income,273,Manufacture of Wiring and Wiring Devices,3-digit,1991593,₹ lakhs
2008,2023-24,All India,Combined,Net Income,2710,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",4-digit,4619316,₹ lakhs
2008,2023-24,All India,Combined,Net Income,2732,Manufacture of Other Electronic and Electric Wires and Cables,4-digit,1243738,₹ lakhs
2008,2023-24,All India,Combined,Net Income,2733,Manufacture of Wiring Devices,4-digit,507278,₹ lakhs
2008,2023-24,All India,Combined,Net Income,3030,Manufacture of Air and Spacecraft and Related Machinery,4-digit,301077,₹ lakhs
2008,2023-24,All India,Combined,Net Income,2599,Manufacture of Other Fabricated Metal Products N.e.c.,4-digit,2313540,₹ lakhs
2008,2023-24,All India,Combined,Net Income,30,Manufacture of Other Transport Equipment,2-digit,6424077,₹ lakhs
2008,2023-24,All India,Combined,Net Income,27,Manufacture of Electrical Equipment,2-digit,9778373,₹ lakhs
2008,2023-24,All India,Combined,Net Income,25,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",2-digit,5583189,₹ lakhs
2008,2023-24,All India,Combined,Net Income,24,Manufacture of Basic Metals,2-digit,19941160,₹ lakhs
2008,2023-24,All India,Combined,Net Income,303,Manufacture of Air and Spacecraft and Related Machinery,3-digit,301077,₹ lakhs
2008,2023-24,All India,Combined,Net Income,2511,Manufacture of Structural Metal Products,4-digit,1079005,₹ lakhs
2008,2023-24,All India,Combined,Net Income,2420,Manufacture of Basic Precious and Other Non-ferrous Metals,4-digit,3316870,₹ lakhs
2008,2023-24,All India,Combined,Net Income,2432,Casting of Non-ferrous Metals,4-digit,260125,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,259,Manufacture of Other Fabricated Metal Products; Metalworking Service Activities,3-digit,1624824,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,2420,Manufacture of Basic Precious and Other Non-ferrous Metals,4-digit,2267533,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,2432,Casting of Non-ferrous Metals,4-digit,90376,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,2511,Manufacture of Structural Metal Products,4-digit,446936,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,2599,Manufacture of Other Fabricated Metal Products N.e.c.,4-digit,1048467,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,2710,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",4-digit,2949448,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,3030,Manufacture of Air and Spacecraft and Related Machinery,4-digit,1551,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,2733,Manufacture of Wiring Devices,4-digit,306862,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,2732,Manufacture of Other Electronic and Electric Wires and Cables,4-digit,813847,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,2267533,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,243,Casting of Metals,3-digit,1641862,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,251,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators",3-digit,601835,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,271,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",3-digit,2949448,₹ lakhs
